                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6895,                  1.273,                 0.9506,                0.62742,                  0.363,                0.41509,                0.26354,                 1.7174,                 1.2582,                0.94988,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.7033,                 1.2717,                 0.9509,                0.45494,                0.42224,                0.42889,                0.27851,                 1.7071,                 1.2458,                0.95189,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.7077,                  1.275,                0.94314,                0.50225,                0.38947,                0.42692,                0.28632,                 1.6748,                 1.2215,                0.94671,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.7405,                 1.2761,                0.95648,                0.48902,                0.41039,                0.44569,                0.29503,                 1.6734,                 1.2333,                0.94664,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.6836,                 1.2398,                0.94644,                0.46156,                0.42709,                0.43845,                0.29046,                 1.6745,                 1.1908,                0.94468,             0.00037262,             0.00037262,             0.00037262
                     40,                  1.694,                 1.2416,                0.95215,                0.50449,                0.41576,                0.43386,                0.27914,                 1.6774,                  1.239,                0.94585,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.6959,                 1.2362,                0.94703,                0.50141,                0.40085,                0.45264,                0.29597,                  1.696,                 1.2174,                0.94881,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.6806,                 1.2271,                0.94305,                 0.5581,                0.42984,                0.46462,                0.30649,                 1.6638,                 1.2072,                0.94089,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.6652,                 1.2272,                0.94478,                0.55073,                0.42414,                0.45067,                0.28635,                 1.7211,                 1.1817,                0.94623,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.6808,                   1.22,                0.94152,                 0.5212,                0.46592,                0.47656,                0.30668,                 1.6723,                 1.1667,                0.94198,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.6545,                 1.1866,                0.93332,                0.56595,                0.45308,                0.48951,                 0.3238,                 1.6215,                 1.1663,                0.93516,             0.00033769,             0.00033769,             0.00033769
                     46,                  1.632,                 1.1787,                0.93974,                0.56365,                0.47227,                0.49913,                0.32966,                 1.6226,                 1.1335,                0.93645,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.6444,                 1.1958,                0.93798,                 0.5539,                0.43609,                 0.4795,                0.31966,                 1.6378,                 1.1544,                0.93345,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.6419,                 1.1783,                 0.9401,                0.55492,                0.48177,                0.51064,                0.33499,                 1.6632,                 1.1567,                0.93693,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.6581,                 1.1809,                0.92991,                0.54388,                0.47461,                0.50388,                0.33847,                 1.6363,                  1.155,                0.94056,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.6543,                 1.1859,                0.93712,                0.60244,                0.45768,                0.51253,                0.34624,                 1.6218,                 1.1322,                0.93514,             0.00030858,             0.00030858,             0.00030858
                     51,                  1.646,                 1.1639,                0.93723,                0.59188,                 0.4782,                0.51804,                 0.3502,                 1.6138,                 1.1353,                0.93128,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.6474,                 1.1888,                0.93563,                0.58435,                0.45389,                0.50602,                0.33744,                  1.613,                   1.15,                0.93246,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.6553,                 1.1597,                 0.9345,                0.62996,                  0.483,                0.52673,                0.35638,                 1.6059,                 1.1044,                0.92757,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.6556,                  1.154,                0.93463,                0.59384,                0.48251,                0.52539,                0.35074,                   1.61,                 1.0996,                0.93079,              0.0002853,              0.0002853,              0.0002853
                     55,                 1.6058,                 1.1327,                0.92984,                0.59508,                0.48389,                0.51976,                0.35582,                  1.594,                 1.1023,                0.92572,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.6017,                 1.1161,                0.92924,                0.59267,                 0.4755,                0.52167,                 0.3395,                 1.6302,                 1.1107,                0.93205,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.5988,                 1.1162,                0.92596,                0.61676,                0.48688,                0.52744,                0.34872,                 1.6117,                 1.0903,                0.93095,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.5839,                  1.133,                0.92848,                0.63272,                0.48716,                 0.5401,                0.36776,                 1.5855,                 1.0849,                  0.924,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.6081,                  1.122,                0.92481,                0.63095,                0.48408,                0.52693,                0.35336,                 1.5874,                 1.1052,                0.92575,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.5972,                 1.1259,                0.92435,                0.62193,                0.48985,                0.53364,                0.35739,                 1.6117,                 1.0809,                0.92757,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.5996,                 1.1189,                0.92551,                0.66994,                0.49848,                0.55804,                 0.3815,                  1.562,                 1.0396,                0.92157,             0.00024455,             0.00024455,             0.00024455
                     62,                  1.601,                 1.1028,                0.92349,                0.65747,                0.49373,                 0.5488,                0.37254,                 1.5749,                 1.0784,                0.92258,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.5931,                 1.1055,                0.92078,                0.66533,                0.49315,                0.55803,                0.37751,                 1.5765,                 1.0616,                0.92234,             0.00023291,             0.00023291,             0.00023291
                     64,                 1.5754,                 1.0876,                0.91991,                0.66381,                0.50596,                0.56386,                0.38579,                 1.5729,                 1.0687,                0.92053,             0.00022709,             0.00022709,             0.00022709
                     65,                 1.6055,                 1.1132,                0.92281,                0.65452,                0.50048,                0.55575,                0.38089,                  1.574,                 1.0889,                0.92346,             0.00022126,             0.00022126,             0.00022126
                     66,                 1.5695,                 1.0923,                  0.923,                0.63491,                 0.5156,                0.56772,                0.38573,                 1.5682,                 1.0563,                 0.9216,             0.00021544,             0.00021544,             0.00021544
                     67,                 1.6072,                 1.1116,                0.92273,                0.65606,                0.50902,                0.56207,                0.38261,                 1.5612,                 1.0551,                0.92327,             0.00020962,             0.00020962,             0.00020962
                     68,                  1.599,                  1.104,                0.92101,                0.66188,                0.50518,                 0.5627,                0.38359,                 1.5674,                 1.0344,                0.91928,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.5848,                 1.0857,                0.92237,                0.68022,                0.49158,                0.56492,                0.38088,                 1.5819,                  1.042,                0.92328,             0.00019798,             0.00019798,             0.00019798
                     70,                 1.5711,                  1.072,                0.91687,                0.65929,                0.50969,                0.56396,                0.36443,                  1.649,                  1.071,                0.93364,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.5411,                  1.061,                0.91576,                0.66893,                 0.4974,                0.56277,                0.38794,                 1.5458,                 1.0357,                0.91762,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.5664,                  1.072,                 0.9179,                0.65972,                0.51076,                0.57521,                0.38438,                 1.5822,                  1.042,                0.92497,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.5746,                 1.0793,                0.91736,                0.69208,                0.51351,                0.58206,                0.39346,                 1.5704,                 1.0313,                0.92001,             0.00017469,             0.00017469,             0.00017469
                     74,                 1.5566,                 1.0613,                0.91341,                0.69459,                0.50604,                 0.5683,                0.38254,                 1.5733,                 1.0452,                0.92114,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.5435,                 1.0565,                0.91623,                0.63917,                0.53318,                0.57759,                0.40059,                 1.5284,                 1.0126,                0.91434,             0.00016305,             0.00016305,             0.00016305
